Uin,gender,age,device,has_interest_online,interestss_TVShows,interests_Travel,interests_Society,interests_Pets,interests_Natural,interests_Cars,interests_Foods,interests_Music,interests_Digital,interests_Life,interests_Sports,interests_Reading,interests_Childproducts,interests_Fashion,interests_Tech,interests_Entertainment,interests_Health,interests_Cartoon,interests_Finance,interests_Realestate,interests_Videogames,interests_Art,Group
ea31d3a955bd2cc09f60ede5a0bd6451,2,36,2,0,0.0,2.291447704,9.159534063999999,0.0,0.0,0.0,1.5461121619999998,0.0,0.0,13.89317118,0.0,0.0,0.60566891,0.0,0.0,1.229311891,11.856729099999999,0.0,0.0,0.0,0.33341692300000003,0.262369089,0
5a5da064f7de1bb140bbd3bb89128bcf,1,23,1,0,0.0,0.0,236.7502211,0.0,0.0,0.0,2.140490432,0.0,0.0,149.8080752,4.7567715889999995,0.0,0.0,0.0,11.91152208,0.0,184.328177,0.0,6.964958697999999,7.1336417,0.0,0.0,0
3935f389a10c5e18e2d430d67ee864d7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4feb9ed32171a098e489d77b6a8ab47f,2,55,1,0,0.0,0.0,2740.086466,0.0,0.0,0.0,38.68311322,104.93856509999998,0.0,426.0801097,0.0,0.0,0.0,528.4586154,101.0703172,930.5801311,941.7042447999999,0.0,0.0,0.0,0.0,0.0,1
a544a1e1218a37b45ee632d1d40c82d3,1,55,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
212eb9bafd5d6ef74c73ee949fb13175,2,31,1,0,5.379569875,5.893532249,14.32887562,0.0,0.0,0.0,11.78301149,0.0,0.0,7.201112827,0.0,0.0,32.38692141,11.86540568,1.6278035169999998,63.74505111,16.24699535,0.0,4.182839094,6.569432547000001,0.0,0.0,1
d28591a219cad6bc25dd2214e18e45a,1,53,2,1,0.0,1.802854943,33.92822795,0.0,0.0,0.0,3.443612864,0.0,0.0,20.8306905,0.0,6.531231968999999,0.0,0.0,1.407863749,0.0,2.7244069339999997,0.0,5.060379341,0.0,0.0,0.0,1
c2a06f3e3541bf46634b909812af7268,1,21,2,1,0.0,1.7467860309999999,8.634622053,0.14384475900000002,0.0,0.0,0.0,0.43673108299999996,0.0,10.11077797,0.0,0.0,0.0,0.0,3.973853627,0.0,0.111181091,0.185434297,0.439267796,0.0,0.0,0.0,2
ace66849cced0d5db490984173947497,1,62,2,0,0.0,0.0,19.91889825,0.0,0.0,0.0,17.24606282,1.035160758,0.0,8.214434579,0.0,1.118503656,0.0,0.0,3.178737742,0.0,10.01030527,0.0,0.0,0.0,0.0,0.0,1
cb42690b4f0ff58341b298af6bd5a7cc,1,37,2,1,25.1742293,0.0,206.75250459999998,5.56890334,0.0,0.0,43.09148051,230.74806710000001,0.0,76.84400101,0.0,75.35858344,0.0,0.0,0.0,0.0,84.06554622,0.0,0.0,2.160898481,0.0,0.0,1
f084df9aebeddc30b1fa885d247a5e2f,2,44,1,0,0.0,0.0,58.19378629,0.0,0.0,0.0,2.2773506169999997,0.0,0.0,10.96370651,0.0,1.4067985509999998,0.0,0.0,2.48524093,8.791408584,13.51693013,0.0,0.0,0.0,0.0,0.0,0
29e4beb7aaf0ab6cdc25cd5bba47c791,1,33,1,0,0.0,0.0,21.61605979,0.0,0.0,1.021730437,6.289979112,0.0,0.0,16.86452264,0.0,0.0,0.0,0.0,0.0,0.0,2.9816313969999997,0.0,0.78178004,162.66859490000002,6.047846452000001,2.8484258330000003,0
419c4c158b17b314d7a5545d7a04536d,1,23,1,1,11.51735485,1.77424345,21.56465594,0.0,0.0,0.0,0.0,0.0,83.67760778,2.025205552,0.0,0.0,0.0,0.0,58.59633067,0.0,0.0,0.0,1.5017911069999998,4.554076997,93.57549485,0.0,0
27a6c736c58478bfa66bb96e1fdd834,2,36,1,1,0.0,0.0,13.76925307,0.0,0.0,0.0,0.0,0.0,0.0,12.13723969,0.0,0.0,0.7439222759999999,0.991538525,0.0,1.410995475,23.22890651,0.0,0.0,0.0,0.0,0.0,1
