user,adid,expid,if_click
374510,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
346202,0b0fa14b56d3741178196daaa92e6a1e,0,0
444204,ea875acb76e0a806a7837174528f62d9,1,0
868031,1f1fe825014d9e9a0881233d9950bd43,1,0
601159,97fc187415fe1785d5ee02bfd348968e,1,1
751688,5b2ae85128137e449eb015f6de78add5,1,1
122452,0b0fa14b56d3741178196daaa92e6a1e,1,0
378861,26ff0b4edf5c7f38fb44b7fac8af0209,1,0
846221,1f1fe825014d9e9a0881233d9950bd43,1,0
899821,5b2ae85128137e449eb015f6de78add5,0,0
787105,976aabce935794606f1ba9abd0f04ace,1,0
437200,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
211726,5b2ae85128137e449eb015f6de78add5,1,0
205515,a16cdc60bdb8bffc25b9d02c525d5478,0,0
950530,0d82161270febc99f7defb653e339113,0,0
947525,4b1e5c31834e0fd5a30640d96ad20a6f,1,0
906148,0d82161270febc99f7defb653e339113,0,0
231104,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
732628,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
6114,ea875acb76e0a806a7837174528f62d9,0,0
871682,97fc187415fe1785d5ee02bfd348968e,1,0
768523,1f1fe825014d9e9a0881233d9950bd43,1,0
434897,1f1fe825014d9e9a0881233d9950bd43,0,0
986629,0d82161270febc99f7defb653e339113,0,0
102681,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
731232,97fc187415fe1785d5ee02bfd348968e,0,0
229468,5b2ae85128137e449eb015f6de78add5,1,0
488182,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
505171,97fc187415fe1785d5ee02bfd348968e,1,0
256606,0d82161270febc99f7defb653e339113,0,0
432475,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
731236,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,1
256986,ea875acb76e0a806a7837174528f62d9,0,0
82199,bcf3ad5ca68792826b1792aaf3a2d630,1,0
797513,bcf3ad5ca68792826b1792aaf3a2d630,1,0
98354,5b2ae85128137e449eb015f6de78add5,0,0
744963,0d82161270febc99f7defb653e339113,1,0
498139,5b2ae85128137e449eb015f6de78add5,1,0
74557,ea875acb76e0a806a7837174528f62d9,1,0
954662,0d82161270febc99f7defb653e339113,0,0
405715,5b2ae85128137e449eb015f6de78add5,0,0
775669,26ff0b4edf5c7f38fb44b7fac8af0209,1,1
328503,0d82161270febc99f7defb653e339113,0,0
120071,0d82161270febc99f7defb653e339113,1,0
253778,5b2ae85128137e449eb015f6de78add5,0,0
730948,1f1fe825014d9e9a0881233d9950bd43,0,0
686956,1f1fe825014d9e9a0881233d9950bd43,0,0
897969,5b2ae85128137e449eb015f6de78add5,0,0
516446,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
525652,976aabce935794606f1ba9abd0f04ace,1,0
620995,97fc187415fe1785d5ee02bfd348968e,1,0
874136,5b2ae85128137e449eb015f6de78add5,1,0
263780,bcf3ad5ca68792826b1792aaf3a2d630,1,0
777746,1f1fe825014d9e9a0881233d9950bd43,1,0
204825,97fc187415fe1785d5ee02bfd348968e,0,0
291099,0d82161270febc99f7defb653e339113,0,0
42975,ea875acb76e0a806a7837174528f62d9,0,0
51241,5b2ae85128137e449eb015f6de78add5,0,0
412543,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
434195,97fc187415fe1785d5ee02bfd348968e,0,0
572545,1f1fe825014d9e9a0881233d9950bd43,1,0
141902,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
746014,26ff0b4edf5c7f38fb44b7fac8af0209,0,0
919883,3b97e8d3682a72159f4a6bccee86ac1c,1,0
753180,1f1fe825014d9e9a0881233d9950bd43,0,0
661285,97fc187415fe1785d5ee02bfd348968e,1,0
13533,97fc187415fe1785d5ee02bfd348968e,0,0
200611,ea875acb76e0a806a7837174528f62d9,0,0
634840,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
627277,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
329449,5b2ae85128137e449eb015f6de78add5,0,0
364811,ea875acb76e0a806a7837174528f62d9,1,0
627044,5b2ae85128137e449eb015f6de78add5,0,0
174270,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
50121,bcf3ad5ca68792826b1792aaf3a2d630,1,0
506868,1f1fe825014d9e9a0881233d9950bd43,0,0
492651,97fc187415fe1785d5ee02bfd348968e,0,0
52345,5b2ae85128137e449eb015f6de78add5,1,0
239943,bcf3ad5ca68792826b1792aaf3a2d630,1,0
832619,26ff0b4edf5c7f38fb44b7fac8af0209,0,0
940455,0d82161270febc99f7defb653e339113,0,0
978123,0d82161270febc99f7defb653e339113,1,0
22745,ea875acb76e0a806a7837174528f62d9,0,0
356320,1f1fe825014d9e9a0881233d9950bd43,0,0
223833,ea875acb76e0a806a7837174528f62d9,1,0
232591,bcf3ad5ca68792826b1792aaf3a2d630,1,0
854996,1f1fe825014d9e9a0881233d9950bd43,0,0
806372,bcf3ad5ca68792826b1792aaf3a2d630,0,0
839107,bcf3ad5ca68792826b1792aaf3a2d630,0,0
566037,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,0
501645,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
935963,0d82161270febc99f7defb653e339113,0,0
213040,1e4fb0d22340fdf9ee02b6ae4a7d9a83,0,1
615006,bcf3ad5ca68792826b1792aaf3a2d630,1,0
655276,26ff0b4edf5c7f38fb44b7fac8af0209,1,0
713996,1e4fb0d22340fdf9ee02b6ae4a7d9a83,1,0
155026,97fc187415fe1785d5ee02bfd348968e,1,0
182899,0b0fa14b56d3741178196daaa92e6a1e,0,0
