user,click,like,age,gender,friend_cnt,sns_like_cnt,sns_comment_cnt,pre_click,treat
631,0,0,34,1,1105,144,344,1,0
632,0,0,37,1,283,26,59,0,1
633,0,0,33,2,668,55,68,0,1
635,0,0,26,2,778,193,91,0,1
637,0,0,38,1,260,53,125,0,0
638,0,0,31,2,350,19,55,0,0
639,0,0,26,2,156,51,34,0,1
640,0,0,33,2,448,85,36,0,1
641,0,0,35,1,235,46,52,0,0
642,0,0,18,1,1725,301,351,0,1
643,0,0,19,2,269,53,92,0,0
644,0,0,28,1,81,71,32,0,1
645,0,0,35,2,1460,80,107,0,0
646,0,0,23,2,419,95,317,0,1
647,0,0,14,2,285,34,49,0,1
648,0,0,30,1,757,107,322,0,0
649,0,0,28,1,115,52,52,0,1
651,0,0,31,1,175,67,131,0,0
654,0,0,28,2,407,166,119,0,0
657,0,0,29,1,291,198,948,0,0
659,0,0,26,2,199,60,287,0,0
660,0,0,29,1,291,32,31,0,1
662,0,0,24,1,617,126,207,0,1
663,0,0,25,1,284,163,192,0,1
666,0,1,23,2,332,51,179,0,0
668,0,0,22,2,161,93,44,0,0
671,0,0,24,2,159,41,85,0,0
672,0,0,19,2,283,84,175,0,1
673,0,0,25,2,240,16,29,0,1
674,0,0,25,2,482,206,279,1,0
675,0,0,14,2,503,471,1340,0,0
677,0,0,26,2,1186,53,98,0,0
678,0,0,28,1,593,104,191,0,0
679,0,0,29,2,147,29,66,0,1
680,0,0,28,1,87,97,39,0,0
681,0,0,33,1,207,27,19,0,0
682,0,0,21,1,156,38,121,0,0
683,0,0,24,1,146,24,50,0,1
684,0,0,32,2,1257,79,808,0,0
686,0,0,29,1,691,25,67,0,0
688,1,0,27,2,165,20,36,1,0
690,0,0,26,2,585,114,352,0,0
692,0,0,27,2,468,46,87,0,0
693,0,0,28,2,102,49,71,0,0
694,0,0,24,2,187,115,195,0,0
695,0,0,38,2,1729,198,89,0,0
696,1,0,23,2,180,22,71,1,0
698,0,0,27,2,518,205,261,0,0
699,0,0,21,2,382,171,565,0,1
700,0,0,37,2,488,89,130,0,1
705,0,0,35,2,178,173,217,0,1
707,0,0,30,2,381,100,198,0,0
711,0,0,28,1,622,74,63,0,0
712,0,0,32,1,392,27,116,0,0
713,0,0,24,2,3664,142,335,0,0
714,0,0,26,2,229,59,47,0,0
715,0,0,32,2,359,125,789,0,1
717,0,0,34,2,197,116,101,0,0
720,0,0,28,2,260,46,57,0,1
721,0,0,37,2,247,21,42,0,0
722,0,0,35,2,285,258,61,0,0
723,0,0,34,1,195,79,65,0,1
724,0,0,28,2,1821,106,353,0,0
725,0,1,22,2,586,275,431,0,0
727,0,0,32,1,766,444,54,0,1
728,0,0,32,2,625,167,558,1,0
729,0,0,27,2,344,74,239,0,1
730,0,0,24,2,384,147,511,0,0
731,0,0,23,2,188,24,106,0,1
732,0,0,28,1,307,61,185,0,1
734,0,0,41,1,261,12,58,0,1
736,0,0,32,2,575,53,117,0,0
737,0,0,29,2,262,31,114,0,1
743,0,0,28,2,340,748,426,0,1
744,0,0,23,1,365,108,123,0,0
745,0,0,26,2,885,249,630,0,0
746,0,0,27,1,632,115,39,1,0
748,0,0,31,1,259,62,411,0,1
749,0,0,25,1,285,50,187,0,1
750,0,0,19,2,234,186,248,0,1
751,0,0,28,1,335,63,54,0,1
752,0,0,25,1,234,103,55,0,1
753,0,0,22,2,162,55,66,0,1
754,0,0,19,1,214,52,78,0,0
756,0,0,23,2,100,33,37,1,0
757,0,0,25,2,165,81,273,0,0
758,0,1,25,2,364,39,32,0,1
759,0,0,30,1,209,18,39,0,0
760,0,0,22,1,684,5,87,0,1
761,0,0,22,2,1086,303,122,0,1
762,0,0,24,2,412,48,57,0,1
765,0,0,22,2,244,55,124,0,1
767,0,0,23,2,717,460,98,0,0
768,0,0,28,2,399,105,44,0,1
770,0,0,19,1,243,65,113,0,1
773,0,0,27,2,436,61,475,0,0
774,0,0,22,2,266,32,319,0,1
776,0,0,38,1,576,241,946,0,1
777,0,0,29,2,346,154,426,0,0
778,0,0,26,1,1487,336,133,0,1
779,0,0,24,1,324,486,220,0,1
780,0,0,38,1,353,154,359,0,0
781,0,0,31,1,519,97,155,0,1
782,0,0,30,2,171,35,57,0,1
783,0,0,25,1,534,81,156,0,1
785,0,0,25,2,62,50,15,0,0
786,1,0,23,1,433,591,548,1,1
787,0,0,30,2,176,110,189,0,0
789,0,0,24,2,259,92,136,0,0
791,0,0,22,2,208,196,225,0,0
792,0,0,38,1,445,51,24,0,0
794,0,0,24,1,316,46,80,0,1
795,0,0,20,2,197,24,50,0,0
796,0,0,28,2,437,115,82,0,1
799,0,0,29,2,216,41,6,0,0
801,0,0,21,2,161,70,96,0,0
802,0,0,21,1,367,10,58,0,1
804,0,0,25,2,735,303,615,0,0
806,0,0,23,1,203,186,163,0,0
807,0,0,26,2,495,36,134,0,0
810,0,0,23,1,203,72,195,0,0
812,0,0,31,2,231,146,332,0,1
815,0,0,19,2,249,98,67,0,1
818,0,0,26,1,138,31,31,0,1
819,0,0,31,1,322,53,17,0,0
822,0,0,27,1,109,15,46,0,0
823,0,1,30,1,160,397,351,0,0
825,0,0,24,1,484,156,1262,0,1
826,0,0,36,1,230,63,77,0,1
827,0,0,18,1,214,143,204,0,1
828,0,0,29,2,182,23,116,0,1
830,0,0,23,2,332,204,201,0,0
832,0,0,17,2,103,58,49,0,0
833,0,0,24,1,204,10,51,0,0
834,0,0,28,1,543,12,29,0,1
836,0,0,20,2,686,74,314,0,0
837,0,0,31,1,643,343,459,0,0
839,0,0,22,1,246,131,261,0,0
843,0,0,29,2,640,326,170,0,0
844,0,0,20,2,65,40,61,0,0
845,0,0,22,2,307,162,325,0,0
846,0,0,27,1,132,46,7,0,1
847,0,0,27,2,281,38,59,0,0
848,0,0,35,1,258,27,40,0,0
849,0,0,26,2,358,307,373,0,0
851,0,0,21,2,177,61,68,0,0
852,0,0,28,1,497,159,57,0,0
853,0,0,25,2,462,55,159,0,1
854,0,0,23,2,1030,69,237,0,1
856,0,0,21,2,190,60,56,0,0
858,0,0,33,2,114,39,152,0,0
859,0,0,26,1,358,149,279,0,1
861,0,0,25,1,131,52,101,0,1
863,1,0,21,2,181,41,338,1,0
864,0,0,18,2,245,293,543,0,1
865,0,0,25,2,328,43,177,0,1
867,0,0,22,1,386,67,73,0,1
868,0,0,25,2,290,19,244,0,1
869,0,0,32,1,303,36,38,0,1
870,0,0,32,1,234,24,108,0,1
874,0,0,27,1,386,86,303,0,0
875,0,0,28,2,178,21,56,0,0
876,0,0,21,2,355,70,91,0,0
878,0,0,22,2,161,19,54,0,0
879,0,0,33,2,240,117,130,0,0
880,0,0,33,2,430,91,141,0,1
881,0,0,29,2,232,71,345,0,1
882,0,0,25,1,578,59,108,0,0
883,0,0,28,1,180,91,74,0,0
884,0,0,26,1,309,63,207,0,1
885,0,0,36,1,343,343,123,0,1
886,0,0,22,1,227,19,16,0,0
887,0,0,21,2,185,128,449,0,1
891,0,0,30,1,265,92,170,0,0
893,0,0,27,2,215,69,191,0,0
894,0,0,28,2,3176,118,396,0,0
895,0,0,34,1,255,54,34,0,0
897,0,0,23,1,556,124,222,0,1
898,0,0,32,1,4748,84,183,0,0
899,0,0,25,2,543,419,364,0,1
901,0,0,27,2,1778,62,147,0,1
902,0,0,30,2,312,70,215,0,0
903,0,0,41,2,281,59,115,0,1
904,0,0,36,1,1002,94,83,0,0
905,0,0,21,1,246,37,171,0,1
906,0,0,31,2,598,162,473,0,0
907,0,0,18,1,230,66,119,0,1
908,0,0,27,2,1500,181,253,0,0
909,0,0,45,1,330,45,51,0,1
910,0,0,24,2,114,78,55,0,1
911,0,0,33,1,265,51,66,0,0
912,0,0,23,2,306,170,618,0,1
914,0,0,12,1,130,605,313,0,0
915,0,0,34,2,583,27,277,0,1
916,0,0,44,2,990,864,356,0,1
917,0,0,21,2,295,447,348,0,0
918,0,0,30,2,904,315,723,0,1
920,0,0,21,1,63,22,16,0,1
922,0,0,20,2,219,48,63,0,1
923,0,0,20,2,259,78,283,0,1
924,0,1,25,2,597,166,299,0,0
927,0,0,21,2,901,70,281,0,1
928,0,0,27,2,467,105,104,0,1
929,0,0,24,1,446,47,40,0,1
930,0,0,25,2,278,58,100,0,0
931,0,0,28,2,376,191,178,0,0
932,0,0,27,2,186,35,50,0,0
933,0,0,27,2,1077,45,89,0,1
934,0,0,46,1,770,183,121,0,1
936,0,0,22,1,550,14,65,0,0
937,0,0,23,2,207,24,153,0,0
939,0,0,24,1,345,25,144,0,1
940,0,0,24,2,457,52,69,0,0
941,0,0,16,1,259,167,336,0,1
942,0,0,32,1,575,367,174,0,1
944,1,0,24,2,188,65,89,1,1
945,0,0,29,1,640,27,173,0,1
949,0,0,23,1,365,55,118,0,1
950,0,0,18,2,202,71,100,0,0
953,0,0,27,2,207,92,235,0,0
954,0,0,30,1,206,63,76,0,0
958,0,0,25,2,78,24,46,0,0
960,0,0,29,2,263,93,117,0,1
961,0,0,18,1,231,149,231,0,0
962,0,0,36,2,144,36,78,0,1
963,0,0,20,1,256,136,325,0,0
966,0,0,41,1,180,52,46,0,0
967,0,0,28,2,637,51,400,1,0
968,0,0,37,2,140,72,92,0,0
969,0,0,32,2,584,110,148,0,1
970,0,0,25,1,180,42,19,0,0
972,0,0,24,2,752,292,386,0,1
973,0,0,35,1,172,58,44,0,1
975,0,0,31,1,315,6,48,0,0
977,0,0,31,1,876,114,397,0,0
978,0,0,48,1,166,25,53,0,0
985,0,0,31,1,500,24,54,0,1
986,0,0,43,2,732,87,69,0,1
988,0,0,23,1,107,4,39,0,1
989,0,0,32,2,83,17,16,0,1
990,0,0,25,2,335,164,146,0,0
991,0,0,40,1,1123,464,471,0,0
992,0,0,28,1,889,57,109,0,1
994,0,0,45,1,560,14,44,0,1
997,0,0,15,1,201,67,185,0,1
998,0,0,25,1,218,28,421,0,1
1000,0,0,24,2,289,61,113,0,1
1002,1,0,25,2,309,65,71,1,0
1004,0,0,29,1,142,24,187,0,1
1005,0,0,37,2,170,122,181,0,1
